,Company,Availble Jobs,Average Salary,Rating,Total Reviews
609,Tech Mahindra,432,2.8L,3.4,(42k)
610,Genpact,371,2.3L,3.6,(40.4k)
611,Teleperformance,850,95.1k,3.8,(36.2k)
612,Axis Bank,219,1L,3.6,(32k)
613,Jio,3,62.2k,4.3,(31.5k)
614,Concentrix Corporation,73,1.3L,3.6,(31.3k)
615,Amazon,1.4k,1.4L,3.9,(30.4k)
616,iEnergizer,72,23.9k,4.6,(27.3k)
617,Reliance Retail,33,74.3k,3.9,(26.8k)
618,IBM,2.6k,2.1L,3.9,(25.2k)
619,LTIMindtree,474,1.9L,3.6,(25.2k)
620,TCS,3k,9.6L,3.4,(1.1L)
621,Accenture,32.5k,6.4L,3.7,(70.5k)
622,Wipro,5.6k,4.7L,3.6,(62.6k)
623,Cognizant,836,5.9L,3.6,(59.5k)
624,Capgemini,2.1k,4.7L,3.7,(51.1k)
625,HDFC Bank,198,1.5L,3.8,(50k)
626,Infosys,2.9k,5.1L,3.5,(46.8k)
627,ICICI Bank,32,1.5L,4.0,(44.9k)
628,HCLTech,282,3.7L,3.4,(44k)
629,Tech Mahindra,432,2.8L,3.4,(42k)
630,Genpact,371,2.3L,3.6,(40.4k)
631,Teleperformance,850,95.1k,3.8,(36.2k)
632,Axis Bank,219,1L,3.6,(32k)
633,Jio,3,62.2k,4.3,(31.5k)
634,Concentrix Corporation,73,1.3L,3.6,(31.3k)
635,Amazon,1.4k,1.4L,3.9,(30.4k)
636,iEnergizer,72,23.9k,4.6,(27.3k)
637,Reliance Retail,33,74.3k,3.9,(26.8k)
638,IBM,2.6k,2.1L,3.9,(25.2k)
639,LTIMindtree,474,1.9L,3.6,(25.2k)
640,TCS,3k,9.6L,3.4,(1.1L)
641,Accenture,32.5k,6.4L,3.7,(70.5k)
642,Wipro,5.6k,4.7L,3.6,(62.6k)
643,Cognizant,836,5.9L,3.6,(59.5k)
644,Capgemini,2.1k,4.7L,3.7,(51.1k)
645,HDFC Bank,198,1.5L,3.8,(50k)
646,Infosys,2.9k,5.1L,3.5,(46.8k)
647,ICICI Bank,32,1.5L,4.0,(44.9k)
648,HCLTech,282,3.7L,3.4,(44k)
649,Tech Mahindra,432,2.8L,3.4,(42k)
650,Genpact,371,2.3L,3.6,(40.4k)
651,Teleperformance,850,95.1k,3.8,(36.2k)
652,Axis Bank,219,1L,3.6,(32k)
653,Jio,3,62.2k,4.3,(31.5k)
654,Concentrix Corporation,73,1.3L,3.6,(31.3k)
655,Amazon,1.4k,1.4L,3.9,(30.4k)
656,iEnergizer,72,23.9k,4.6,(27.3k)
657,Reliance Retail,33,74.3k,3.9,(26.8k)
658,IBM,2.6k,2.1L,3.9,(25.2k)
659,LTIMindtree,474,1.9L,3.6,(25.2k)
660,TCS,3k,9.6L,3.4,(1.1L)
661,Accenture,32.5k,6.4L,3.7,(70.5k)
662,Wipro,5.6k,4.7L,3.6,(62.6k)
663,Cognizant,836,5.9L,3.6,(59.5k)
664,Capgemini,2.1k,4.7L,3.7,(51.1k)
665,HDFC Bank,198,1.5L,3.8,(50k)
666,Infosys,2.9k,5.1L,3.5,(46.8k)
667,ICICI Bank,32,1.5L,4.0,(44.9k)
